1: 0-1999 我
2: 2000-3999 我
3: 4000-5999 我
4: 6000-7999 我
5: 8000-9999 我
6: 10000-11999 实验室 严伦
7: 12000-13999 实验室 严伦
8: 14000-15999 实验室 严伦
9: 16000-17999 实验室 严伦
10: 18000-19999 实验室 严伦
11: 20000-21999 实验室 严伦
12: 22000-23999 实验室 严伦
13: 24000-25999 实验室 严伦
14: 26000-27999 实验室 严伦
15: 28000-29999 实验室 严伦
16: 30000-31999 实验室 焕宇
17: 32000-33999 实验室 焕宇
18: 34000-35999 实验室 焕宇
19: 36000-37999 实验室 焕宇
20: 38000-39999 实验室 焕宇
21: 40000-41999 实验室 微凡
22: 42000-43999 实验室 微凡
23: 44000-45999 实验室 微凡
24: 46000-47999 实验室 微凡
25: 48000-49999 实验室 微凡
26: 50000-51999 实验室 我
27: 52000-53999 实验室 我
28: 54000-55999 实验室 我
29: 56000-57999 实验室 我
